Draw,Year,Country,Artist,Male singer,Female Singer,Duo,Band,Experienced artist,Song,Language,Final,Host,Rank,Score,Countries Voting,Countries competing,Date of contest,Official video,Videocounts,Total Videocounts for round
1,1998,Croatia,Danijela,,1,,,1,"""Neka mi ne svane""",Croatian,1,,5,131,25,25,,,,
2,1998,Greece,Thalassa,1,,,,,"""Mia krifi evesthisia"" (??? ???≠? ??????????)",Greek,1,,20,12,25,25,,,,
3,1998,France,Marie Line,,1,,,,"""O? aller""",French,1,,24,3,25,25,,,,
4,1998,Spain,Mikel Herzog,1,,,,1,"""?Qu? voy a hacer sin ti?""",Spanish,1,,16,21,25,25,,,,
5,1998,Switzerland,Gunvor,,1,,,,"""Lass ihn""",German,1,,25,0,25,25,,,,
6,1998,Slovakia,Katar?na Hasprovò,,1,,,,"""Modlitba""",Slovak,1,,21,8,25,25,,,,
7,1998,Poland,Sixteen,,,,1,,"""To takie proste""",Polish,1,,17,19,25,25,,,,
8,1998,Israel,Dana International,,1,,,1,"""Diva""?(?????)",Hebrew,1,,1,172,25,25,,,,
9,1998,Germany,Guildo Horn,1,,,,1,"""Guildo hat euch lieb!""",German,1,,7,86,25,25,,,,
10,1998,Malta,Chiara,,1,,,,"""The One That I Love""",English,1,,3,165,25,25,,,,
11,1998,Hungary,Charlie,1,,,,1,"""A holnap mòr nem lesz szomor?""",Hungarian,1,,23,4,25,25,,,,
12,1998,Slovenia,Vili Resnik,1,,,,1,"""Naj bogovi sli?ijo""",Slovene,1,,18,17,25,25,,,,
13,1998,Ireland,Dawn Martin,,1,,,,"""Is Always Over Now?""",English,1,,9,64,25,25,,,,
14,1998,Portugal,Alma Lusa,,,,1,,"""Se eu te pudesse abra?ar""",Portuguese,1,,12,36,25,25,,,,
15,1998,Romania,M?lina Olinescu,,1,,,,"""Eu cred""",Romanian,1,,22,6,25,25,,,,
16,1998,United Kingdom,Imaani,,1,,,,"""Where Are You?""",English,1,,2,166,25,25,,,,
17,1998,Cyprus,Michael Hajiyanni,1,,,,1,"""Genesis"" (ü??????)",Greek,1,,11,37,25,25,,,,
18,1998,Netherlands,Edsilia,,1,,,1,"""Hemel en aarde""",Dutch,1,,4,150,25,25,,,,
19,1998,Sweden,Jill Johnson,,1,,,1,"""K?rleken ?r""",Swedish,1,,10,53,25,25,,,,
20,1998,Belgium,M?lanie Cohl,,1,,,,"""Dis oui""",French,1,,6,122,25,25,,,,
21,1998,Finland,Edea,,,,1,,"""Aava""",Finnish,1,,15,22,25,25,,,,
22,1998,Norway,Lars Fredriksen,1,,,,,"""Alltid sommer""",Norwegian,1,,8,79,25,25,,,,
23,1998,Estonia,Koit Toome,1,,,,1,"""Mere lapsed""",Estonian,1,,12,36,25,25,,,,
24,1998,Turkey,TÅzmen,1,,,,1,"""Unutamazs?n""",Turkish,1,,14,25,25,25,,,,
25,1998,Macedonia,Vlado Janevski,1,,,,1,"""Ne zori, zoro"" (?? ????, ????)",Macedonian,1,,19,16,25,25,,,,
1,1999,Lithuania,Aist?,,1,,,1,"""Strazdas""",Samogitian,1,,20,13,23,23,,,,
2,1999,Belgium,Vanessa Chinitor,,1,,,1,"""Like the Wind""",English,1,,12,38,23,23,,,,
3,1999,Spain,Lydia,,1,,,1,"""No quiero escuchar""",Spanish,1,,23,1,23,23,,,,
4,1999,Croatia,Doris Dragovi?,,1,,,1,"""Marija Magdalena""",Croatian,1,,4,118,23,23,,,,
5,1999,United Kingdom,Precious,,,,1,,"""Say It Again""",English,1,,12,38,23,23,,,,
6,1999,Slovenia,Darja ?vajger,,1,,,1,"""For a Thousand Years""",English,1,,11,50,23,23,,,,
7,1999,Turkey,Tu?ba ?nal?&?Grup Mistik,,1,,1,,"""D?n Art?k""",Turkish,1,,16,21,23,23,,,,
8,1999,Norway,Stig Van Eijk,1,,,,,"""Living My Life Without You""",English,1,,14,35,23,23,,,,
9,1999,Denmark,Trine Jepsen?&?Michael Teschl,1,1,1,,,"""This Time I Mean It""",English,1,,8,71,23,23,,,,
10,1999,France,Nayah,,1,,,1,"""Je veux donner ma voix""",French,1,,19,14,23,23,,,,
11,1999,Netherlands,Marlayne,,1,,,,"""One Good Reason""",English,1,,8,71,23,23,,,,
12,1999,Poland,Mietek Szcze?niak,1,,,,,"""Przytul mnie mocno""",Polish,1,,18,17,23,23,,,,
13,1999,Iceland,Selma,,1,,,,"""All Out of Luck""",English,1,,2,146,23,23,,,,
14,1999,Cyprus,Marlain,,1,,,,"""Tha 'ne erotas"" (?? '??? ??????)",Greek,1,,22,2,23,23,,,,
15,1999,Sweden,Charlotte Nilsson,,1,,,1,"""Take Me to Your Heaven""",English,1,,1,163,23,23,,,,
