Draw,Year,Country,Artist,Male singer,Female Singer,Duo,Band,Experienced artist,Song,Language,Final,Host,Rank,Score,Countries Voting,Countries competing,Date of contest,Official video,Videocounts,Total Videocounts for round
1,2016,Belgium,Laura Tesoro,,1,,,,"""What's the Pressure""",English,1,,,,42,26,2016.05.14,iP3USrYpr5w,1841440,60733635
2,2016,Czech Republic,Gabriela Gun?�kov�,,1,,,1,"""I Stand""",English,1,,,,42,26,2016.05.14,0L2imZRo6NY,2052323,60733635
3,2016,Netherlands,Douwe Bob,1,,,,1,"""Slow Down""",English,1,,,,42,26,2016.05.14,vytgHD2pqyk,2431103,60733635
4,2016,Azerbaijan,Samra,,1,,,,"""Miracle""",English,1,,,,42,26,2016.05.14,Dix6XJ_Uo-w,4096774,60733635
5,2016,Hungary,Freddie,1,,,,1,"""Pioneer""",English,1,,,,42,26,2016.05.14,NU8wso6fngM,1186349,60733635
6,2016,Italy,Francesca Michielin,,1,,,1,"""No Degree of Separation""","Italian, English",1,,,,42,26,2016.05.14,WySSLip5uzc,1322145,60733635
7,2016,Israel,Hovi Star,1,,,,1,"""Made of Stars""",English,1,,,,42,26,2016.05.14,SpWKfcjXcp0,1200338,60733635
8,2016,Bulgaria,Poli Genova,,1,,,1,"""If Love Was a Crime""","English,�Bulgarian",1,,,,42,26,2016.05.14,yKsNfccUTuk,2552581,60733635
9,2016,Sweden,Frans,1,,,,,"""If I Were Sorry""",English,1,,,,42,26,2016.05.14,h8D7KNFtTlE,1224778,60733635
10,2016,Germany,Jamie-Lee,,1,,,,"""Ghost""",English,1,,,,42,26,2016.05.14,f-Z7pKopP9s,1120160,60733635
11,2016,France,Amir,1,,,,1,"""J'ai cherch�""","French, English",1,,,,42,26,2016.05.14,boYQovCybYQ,5497906,60733635
12,2016,Poland,Micha? Szpak,1,,,,1,"""Color of Your Life""",English,1,,,,42,26,2016.05.14,Sjup9PJ25LM,4566515,60733635
13,2016,Australia,Dami Im,,1,,,1,"""Sound of Silence""",English,1,,,,42,26,2016.05.14,2EG_Jtw4OyU,4431025,60733635
14,2016,Cyprus,Minus One,,,,1,1,"""Alter Ego""",English,1,,,,42,26,2016.05.14,k8LcNrqiIFE,1479840,60733635
15,2016,Serbia,Sanja Vu?i? ZAA,,1,,,1,"""Goodbye (Shelter)""",English,1,,,,42,26,2016.05.14,mqh-XVcjmHc,2379449,60733635
16,2016,Lithuania,Donny Montell,1,,,,1,"""I've Been Waiting for This Night""",English,1,,,,42,26,2016.05.14,MSncll5CG-I,1403601,60733635
17,2016,Croatia,Nina Kralji?,,1,,,1,"""Lighthouse""",English,1,,,,42,26,2016.05.14,ZPDKaOgkAGY,387665,60733635
18,2016,Russia,Sergey Lazarev,1,,,,1,"""You Are the Only One""",English,1,,,,42,26,2016.05.14,gHgxi57Um0w,3069258,60733635
19,2016,Spain,Barei,,1,,,1,"""Say Yay!""",English,1,,,,42,26,2016.05.14,k0I37W3RN_U,2856917,60733635
20,2016,Latvia,Justs,1,,,,,"""Heartbeat""",English,1,,,,42,26,2016.05.14,O_J8cb2bvcY,333926,60733635
21,2016,Ukraine,Jamala,,1,,,1,"""1944""","English,�Crimean Tatar",1,,,,42,26,2016.05.14,oxS6eKEOdLQ,1629828,60733635
22,2016,Malta,Ira Losco,,1,,,1,"""Walk on Water""",English,1,,,,42,26,2016.05.14,9J7O5BGqPDk,4784406,60733635
23,2016,Georgia,Nika Kocharov & Young Georgian Lolitaz,1,,,1,1,"""Midnight Gold""",English,1,,,,42,26,2016.05.14,y5VynlW6Xeo,307934,60733635
24,2016,Austria,Zo�,,1,,,,"""Loin d'ici""",French,1,,,,42,26,2016.05.14,3pvhx0z3ZFI,1352812,60733635
25,2016,United Kingdom,Joe & Jake,1,,1,,,"""You're Not Alone""",English,1,,,,42,26,2016.05.14,C5VvsLEd1TI,3206431,60733635
26,2016,Armenia,Iveta Mukuchyan,,1,,,1,"""LoveWave""",English,1,,,,42,26,2016.05.14,l7m3wOGhEvE,4018131,60733635
