Draw,Year,Country,Artist,Male singer,Female Singer,Duo,Band,Experienced artist,Song,Language,Type of Song,Final,Host,Score,Countries Voting,Countries competing,Date of contest,Official video,Videocounts,Total Videocounts for round,
1,2016, Latvia,Justs,1,,,,,Heartbeat,English,,,,,21,18,2016.05.12,O_J8cb2bvcY,290854,23481560,
2,2016, Poland,Michaè? Szpak,1,,,,1,Color of Your Life,English,,,,,21,18,2016.05.12,Sjup9PJ25LM,4270107,23481560,0.181849375
3,2016, Switzerland,Rykka,,1,,,1,The Last of Our Kind,English,,,,,21,18,2016.05.12,SPpfb3jRaHQ,301902,23481560,
4,2016, Israel,Hovi Star,1,,,,1,Made of Stars,English,,,,,21,18,2016.05.12,SpWKfcjXcp0,1049384,23481560,
5,2016, Belarus,Ivan,1,,,,1,Help You Fly,English,,,,,21,18,2016.05.12,-13I_VF5d4k,725787,23481560,
6,2016, Serbia,Sanja Vuéçié? ZAA,,1,,,1,Goodbye (Shelter),English,,,,,21,18,2016.05.12,mqh-XVcjmHc,2163442,23481560,
7,2016, Ireland,Nicky Byrne,1,,,,1,Sunlight,English,,,,,21,18,2016.05.12,DCXueTvhjNo,664654,23481560,
8,2016, Macedonia,Kaliopi,,1,,,1,"Dona"" (?????´?¯)",Macedonian,,,,,21,18,2016.05.12,fd8WHhNWp4c,737451,23481560,
9,2016,Lithuania,Donny Montell,1,,,,1,I've Been Waiting for This Night,English,,,,,21,18,2016.05.12,MSncll5CG-I,1365027,23481560,
10,2016, Australia,Dami Im,,1,,,1,Sound of Silence,English,,,,,21,18,2016.05.12,2EG_Jtw4OyU,4019665,23481560,
11,2016, Slovenia,ManuElla,,1,,,,Blue and Red,English,,,,,21,18,2016.05.12,4K4h4AzLFgU,125559,23481560,
12,2016, Bulgaria,Poli Genova,,1,,,1,If Love Was a Crime,"English, Bulgarian",,,,,21,18,2016.05.12,yKsNfccUTuk,2289231,23481560,
13,2016, Denmark,Lighthouse X,1,,,,1,Soldiers of Love,English,,,,,21,18,2016.05.12,abiss5VZn14,1017043,23481560,
14,2016, Ukraine,Jamala,,1,,,1,1944,"English, Crimean Tatar",,,,,21,18,2016.05.12,oxS6eKEOdLQ,1391441,23481560,
15,2016, Norway,Agnete,,1,,,,Icebreaker,English,,,,,21,18,2016.05.12,BhFQaas5wFQ,491588,23481560,
16,2016, Georgia,Nika Kocharov & Young Georgian Lolitaz,1,,,1,1,Midnight Gold,English,,,,,21,18,2016.05.12,y5VynlW6Xeo,268821,23481560,
17,2016, Albania,Eneda Tarifa,,1,,,1,Fairytale,English,,,,,21,18,2016.05.12,je1ICZiKT4g,703521,23481560,
18,2016, Belgium,Laura Tesoro,,1,,,,What's the Pressure,English,,,,,21,18,2016.05.12,iP3USrYpr5w,1606083,23481560,
