Draw,Year,Country,Artist,Male singer,Female Singer,Duo,Band,Experienced artist,Song,Language,Type of Song,Final,Host,Score,Countries Voting,Countries competing,Date of contest,Official video,Videocounts,Total Videocounts for round,
1,2016, Finland,Sandhja,,1,,,,Sing It Away,English,,,,,21,18,2016.05.10,Ge5iMzHc3cY,491145,28291003,
2,2016, Greece,Argo,,,,1,1,Utopian Land,"English, Greek",,,,,21,18,2016.05.10,AqrdpcY3skI,1148546,28291003,
3,2016, Moldova,Lidia Isac,,1,,,1,Falling Stars,English,,,,,21,18,2016.05.10,wXcDKy97BHk,415128,28291003,
4,2016, Hungary,Freddie,1,,,,1,Pioneer,English,,,,,21,18,2016.05.10,NU8wso6fngM,958601,28291003,
5,2016, Croatia,Nina Kraljié?,,1,,,1,Lighthouse,English,,,,,21,18,2016.05.10,ZPDKaOgkAGY,291182,28291003,
6,2016, Netherlands,Douwe Bob,1,,,,1,Slow Down,English,,,,,21,18,2016.05.10,vytgHD2pqyk,1867060,28291003,
7,2016, Armenia,Iveta Mukuchyan,,1,,,1,LoveWave,English,,,,,21,18,2016.05.10,l7m3wOGhEvE,3452646,28291003,
8,2016, San Marino,Serhat,1,,,,1,I Didn't Know,English,,,,,21,18,2016.05.10,KYKFKgwVbV4,468636,28291003,
9,2016, Russia,Sergey Lazarev,1,,,,1,You Are the Only One,English,,,,,21,18,2016.05.10,gHgxi57Um0w,2484246,28291003,
10,2016, Czech Republic,Gabriela Gunéç??kov?≠,,1,,,1,I Stand,English,,,,,21,18,2016.05.10,0L2imZRo6NY,1750950,28291003,
11,2016, Cyprus,Minus One,,,,1,1,Alter Ego,English,,,,,21,18,2016.05.10,k8LcNrqiIFE,1245229,28291003,
12,2016, Austria,Zo?Æ,,1,,,,Loin d'ici,French,,,,,21,18,2016.05.10,3pvhx0z3ZFI,1189830,28291003,
13,2016, Estonia,J?¨ri Pootsmann,1,,,,,Play,English,,,,,21,18,2016.05.10,A8oilbtQptQ,680215,28291003,
14,2016, Azerbaijan,Samra,,1,,,,Miracle,English,,,,,21,18,2016.05.10,Dix6XJ_Uo-w,3638823,28291003,
15,2016, Montenegro,Highway,1,,,1,,The Real Thing,English,,,,,21,18,2016.05.10,SNTPaTnoTuY,562428,28291003,
16,2016, Iceland,Greta Sal??me,,1,,,1,Hear Them Calling,English,,,,,21,18,2016.05.10,7xQxQRdZasQ,976247,28291003,
17,2016, Bosnia and Herzegovina,Dalal & Deen feat. Ana Rucner and Jala,1,1,,1,,Ljubav je,Bosnian,,,,,21,18,2016.05.10,MFmLfeMzgrc,2368291,28291003,
18,2016, Malta,Ira Losco,,1,,,1,Walk on Water,English,,,,,21,18,2016.05.10,9J7O5BGqPDk,4301800,28291003,0.152055408
